Property_ID,City,Locality_Type,Property_Type,BHK,Bathrooms,Super_Area_SqFt,Carpet_Area_SqFt,Floor_Number,Total_Floors,Age_of_Property,Furnishing_Status,Parking,Lift_Available,Gated_Community,Distance_to_Metro_km,Distance_to_City_Center_km,Price_INR_Lakhs
AH-949625,Ahmedabad,Premium,Apartment,2,2,1802.94,1352.61,6,30,21,Unfurnished,1,1,0,2.43,10.42,127.24
CH-495919,Chennai,Affordable,Builder Floor,3,4,987.4,720.63,18,25,9,Semi-Furnished,1,1,1,1.94,4.0,80.42
MU-279153,Mumbai,Mid-Range,Villa,5,5,1189.71,966.26,0,23,20,Unfurnished,1,1,1,5.38,12.9,234.76
AH-454908,Ahmedabad,Mid-Range,Apartment,3,4,1407.2,1194.58,20,33,10,Unfurnished,1,1,1,5.87,10.03,52.88
DE-669210,Delhi,Mid-Range,Independent House,4,5,1779.58,1351.46,8,23,17,Unfurnished,0,1,0,0.99,5.23,255.47
MU-082373,Mumbai,Mid-Range,Builder Floor,6,6,1246.73,883.43,1,33,33,Furnished,0,1,0,4.99,6.41,134.47
DE-354428,Delhi,Mid-Range,Apartment,2,3,2056.4,1533.45,5,15,12,Semi-Furnished,0,1,1,0.1,14.15,245.33
KO-565445,Kolkata,Mid-Range,Builder Floor,3,3,747.41,604.44,20,34,6,Semi-Furnished,0,1,0,4.01,13.08,32.61
DE-082889,Delhi,Affordable,Builder Floor,2,2,935.54,677.09,1,11,0,Furnished,0,1,1,4.21,7.26,136.84
CH-969961,Chandigarh,Mid-Range,Builder Floor,3,4,1332.69,951.33,15,16,2,Unfurnished,1,1,1,0.58,5.23,115.09
MU-500144,Mumbai,Premium,Builder Floor,3,3,1837.61,1327.39,20,25,0,Semi-Furnished,1,1,0,7.6,7.81,454.02
AH-673418,Ahmedabad,Mid-Range,Independent House,2,3,1385.26,1115.66,30,36,7,Semi-Furnished,1,1,1,5.51,4.46,25.501281342668445
HY-926452,Hyderabad,Mid-Range,Villa,3,3,1307.75,853.64,4,33,33,Semi-Furnished,0,1,1,4.14,10.73,84.13
CH-143972,Chennai,Affordable,Apartment,2,2,1000.99,757.74,27,36,14,Unfurnished,1,1,1,2.21,9.0,70.25
JA-767282,Jaipur,Affordable,Independent House,2,3,786.09,590.24,8,39,13,Unfurnished,0,1,1,3.43,12.25,28.21
CH-706007,Chandigarh,Mid-Range,Builder Floor,2,2,1258.48,825.16,17,24,23,Semi-Furnished,1,1,1,3.96,17.02,82.27
CH-507604,Chandigarh,Mid-Range,Apartment,2,3,1108.81,924.51,9,18,34,Semi-Furnished,1,1,0,3.29,6.94,87.89
AH-129613,Ahmedabad,Premium,Villa,4,5,1011.58,714.88,20,32,28,Unfurnished,0,1,0,2.92,5.39,42.63
KO-071235,Kolkata,Mid-Range,Apartment,4,5,969.19,667.13,10,23,16,Semi-Furnished,1,1,1,3.3,13.35,44.01
HY-750755,Hyderabad,Mid-Range,Independent House,2,3,966.95,665.4,14,16,1,Unfurnished,1,1,1,1.15,10.15,69.2
DE-603212,Delhi,Mid-Range,Builder Floor,4,5,1864.3,1538.85,20,39,21,Furnished,1,1,0,0.3,4.19,350.61
KO-247939,Kolkata,Premium,Apartment,2,2,1897.55,1575.77,2,39,1,Unfurnished,0,1,1,4.37,6.63,221.17
